"","date","x","y","mean","min","max","unidad","nombre_var"
"1","2016-07-03",-68.9316938235294,-33.0589492045455,88437.0286108557,88347.505962242,88567.7253151385,"Pa","sp"
"2","2016-07-03",-68.9279414705882,-33.0589492045455,88510.4291523024,88420.923722813,88641.1694797325,"Pa","sp"
"3","2016-07-03",-68.9241891176471,-33.0589492045455,88583.8296937491,88494.3414833841,88714.6136443265,"Pa","sp"
"4","2016-07-03",-68.9204367647059,-33.0589492045455,88657.2302351958,88567.7592439551,88788.0578089205,"Pa","sp"
"5","2016-07-03",-68.9166844117647,-33.0589492045455,88730.6307766425,88641.1770045261,88861.5019735145,"Pa","sp"
"6","2016-07-03",-68.9129320588235,-33.0589492045455,88804.0313180892,88714.5947650971,88934.9461381085,"Pa","sp"
"7","2016-07-03",-68.9091797058824,-33.0589492045455,88877.4318595359,88788.0125256681,89008.3903027026,"Pa","sp"
"8","2016-07-03",-68.9054273529412,-33.0589492045455,88950.8324009826,88861.4302862391,89081.8344672966,"Pa","sp"
"9","2016-07-03",-68.901675,-33.0589492045455,89024.2329424293,88934.8480468101,89155.2786318906,"Pa","sp"
"10","2016-07-03",-68.8979226470588,-33.0589492045455,89097.633483876,89008.2658073811,89228.7227964846,"Pa","sp"
"11","2016-07-03",-68.8941702941176,-33.0589492045455,89171.0340253226,89081.6835679521,89302.1669610786,"Pa","sp"
"12","2016-07-03",-68.8904179411765,-33.0589492045455,89244.4345667691,89155.1013285229,89375.6111256724,"Pa","sp"
"13","2016-07-03",-68.8866655882353,-33.0589492045455,89317.8351082157,89228.5190890939,89449.0552902663,"Pa","sp"
"14","2016-07-03",-68.8829132352941,-33.0589492045455,89391.2356496624,89301.9368496649,89522.4994548603,"Pa","sp"
"15","2016-07-03",-68.8791608823529,-33.0589492045455,89464.6361911091,89375.3546102359,89595.9436194544,"Pa","sp"
"16","2016-07-03",-68.8754085294118,-33.0589492045455,89538.0367325558,89448.7723708069,89669.3877840484,"Pa","sp"
"17","2016-07-03",-68.8716561764706,-33.0589492045455,89611.4372740025,89522.1901313779,89742.8319486424,"Pa","sp"
"18","2016-07-03",-68.8679038235294,-33.0589492045455,89684.8378154492,89595.6078919489,89816.2761132364,"Pa","sp"
"19","2016-07-03",-68.8641514705882,-33.0589492045455,89758.2383568959,89669.0256525199,89889.7202778304,"Pa","sp"
"20","2016-07-03",-68.8603991176471,-33.0589492045455,89831.6388983426,89742.4434130909,89963.1644424244,"Pa","sp"
"21","2016-07-03",-68.8566467647059,-33.0589492045455,89905.0394397893,89815.8611736619,90036.6086070184,"Pa","sp"
"22","2016-07-03",-68.8528944117647,-33.0589492045455,89978.439981236,89889.2789342329,90110.0527716124,"Pa","sp"
"23","2016-07-03",-68.8491420588235,-33.0589492045455,90051.8405226826,89962.6966948039,90183.4969362064,"Pa","sp"
"24","2016-07-03",-68.8453897058824,-33.0589492045455,90125.2410641293,90036.1144553749,90256.9411008005,"Pa","sp"
"25","2016-07-03",-68.8416373529412,-33.0589492045455,90198.641605576,90109.5322159459,90330.3852653945,"Pa","sp"
"26","2016-07-03",-68.837885,-33.0589492045455,90272.0421470227,90182.9499765169,90403.8294299885,"Pa","sp"
"27","2016-07-03",-68.8341326470588,-33.0589492045455,90345.4426884694,90256.3677370879,90477.2735945825,"Pa","sp"
"28","2016-07-03",-68.8303802941176,-33.0589492045455,90418.8432299161,90329.6249945189,90550.7177591765,"Pa","sp"
"29","2016-07-03",-68.8266279411765,-33.0589492045455,90492.2437713628,90402.7970425476,90624.1619237705,"Pa","sp"
"30","2016-07-03",-68.8228755882353,-33.0589492045455,90565.6443128095,90475.9690905764,90697.6060883645,"Pa","sp"
"31","2016-07-03",-68.8191232352941,-33.0589492045455,90639.0448542562,90549.1411386051,90771.0502529586,"Pa","sp"
"32","2016-07-03",-68.8153708823529,-33.0589492045455,90712.4453957029,90622.3131866338,90844.4944175526,"Pa","sp"
"33","2016-07-03",-68.8116185294118,-33.0589492045455,90785.8459371495,90695.4852346626,90917.9385821466,"Pa","sp"
"34","2016-07-03",-68.8078661764706,-33.0589492045455,90859.2464785962,90768.6572826913,90991.3827467406,"Pa","sp"
"35","2016-07-03",-68.8041138235294,-33.0589492045455,90932.6470200427,90841.8293307198,91064.8269113343,"Pa","sp"
"36","2016-07-03",-68.8003614705882,-33.0589492045455,91006.0475614893,90914.9905569837,91138.2710759283,"Pa","sp"
"37","2016-07-03",-68.7966091176471,-33.0589492045455,91079.448102936,90988.140004249,91211.7152405223,"Pa","sp"
"38","2016-07-03",-68.7928567647059,-33.0589492045455,91152.8486443827,91061.2894515142,91285.1594051163,"Pa","sp"
"39","2016-07-03",-68.7891044117647,-33.0589492045455,91226.2491858294,91134.4388987795,91358.6035697104,"Pa","sp"
"40","2016-07-03",-68.7853520588235,-33.0589492045455,91299.6497272761,91207.5883460447,91432.0477343044,"Pa","sp"
"41","2016-07-03",-68.7815997058824,-33.0589492045455,91373.0502687228,91280.7377933099,91505.4918988984,"Pa","sp"
"42","2016-07-03",-68.7778473529412,-33.0589492045455,91446.4508101695,91353.8872405752,91578.9360634924,"Pa","sp"
"43","2016-07-03",-68.774095,-33.0589492045455,91519.8513516162,91427.0366878404,91652.3802280864,"Pa","sp"
"44","2016-07-03",-68.7703426470588,-33.0589492045455,91593.2518930629,91500.1861351056,91725.8243926804,"Pa","sp"
"45","2016-07-03",-68.7665902941176,-33.0589492045455,91666.6524345096,91573.3355823709,91799.2685572744,"Pa","sp"
"46","2016-07-03",-68.7628379411765,-33.0589492045455,91740.0529759562,91646.4850296361,91872.7127218684,"Pa","sp"
"47","2016-07-03",-68.7590855882353,-33.0589492045455,91813.4535174029,91719.6344769013,91946.1568864624,"Pa","sp"
"48","2016-07-03",-68.7553332352941,-33.0589492045455,91886.8540588496,91792.7839241665,92019.6010510565,"Pa","sp"
"49","2016-07-03",-68.7515808823529,-33.0589492045455,91960.2546002963,91865.9333714318,92093.0452156505,"Pa","sp"
"50","2016-07-03",-68.7478285294118,-33.0589492045455,92033.655141743,91939.082818697,92166.4893802445,"Pa","sp"
"51","2016-07-03",-68.7440761764706,-33.0589492045455,92107.0556831897,92012.2322659622,92239.9335448385,"Pa","sp"
"52","2016-07-03",-68.7403238235294,-33.0589492045455,92180.4562246364,92085.3817132275,92313.3777094325,"Pa","sp"
"53","2016-07-03",-68.7365714705882,-33.0589492045455,92253.8567660831,92158.5311604927,92386.8218740265,"Pa","sp"
"54","2016-07-03",-68.7328191176471,-33.0589492045455,92327.2573075298,92231.6806077579,92460.2660386205,"Pa","sp"
"55","2016-07-03",-68.7290667647059,-33.0589492045455,92400.6578489765,92304.8300550232,92533.7102032145,"Pa","sp"
"56","2016-07-03",-68.7253144117647,-33.0589492045455,92474.0583904231,92377.9795022884,92607.1543678085,"Pa","sp"
"57","2016-07-03",-68.7215620588235,-33.0589492045455,92547.4589318698,92451.1289495536,92680.5985324026,"Pa","sp"
"58","2016-07-03",-68.7178097058824,-33.0589492045455,92620.8594733162,92524.2783968186,92754.0426969963,"Pa","sp"
"59","2016-07-03",-68.7140573529412,-33.0589492045455,92694.2600147629,92597.4278440838,92827.4868615903,"Pa","sp"
"60","2016-07-03",-68.710305,-33.0589492045455,92767.6605562096,92670.5772913491,92900.9310261843,"Pa","sp"
"61","2016-07-03",-68.7065526470588,-33.0589492045455,92841.0610976563,92743.7267386143,92974.3751907783,"Pa","sp"
"62","2016-07-03",-68.7028002941177,-33.0589492045455,92914.461639103,92816.8761858795,93047.8193553723,"Pa","sp"
"63","2016-07-03",-68.6990479411765,-33.0589492045455,92987.8621805497,92890.0256331448,93121.2635199663,"Pa","sp"
"64","2016-07-03",-68.6952955882353,-33.0589492045455,93061.2627219964,92963.17508041,93194.7076845603,"Pa","sp"
"65","2016-07-03",-68.6915432352941,-33.0589492045455,93134.6632634431,93036.3245276752,93268.1518491544,"Pa","sp"
"66","2016-07-03",-68.6877908823529,-33.0589492045455,93208.0638048898,93109.4739749405,93341.5960137484,"Pa","sp"
"67","2016-07-03",-68.6840385294118,-33.0589492045455,93281.4643463364,93182.6234222057,93415.0401783424,"Pa","sp"
"68","2016-07-03",-68.6802861764706,-33.0589492045455,93354.8648877831,93255.7728694709,93488.4843429364,"Pa","sp"
"69","2016-07-03",-68.9316938235294,-33.0557876136364,88399.2616903152,88309.7846353459,88529.949477988,"Pa","sp"
"70","2016-07-03",-68.9279414705882,-33.0557876136364,88473.1831015893,88383.7227506705,88603.9159155414,"Pa","sp"
"71","2016-07-03",-68.9241891176471,-33.0557876136364,88547.1045128633,88457.6608659951,88677.8823530948,"Pa","sp"
"72","2016-07-03",-68.9204367647059,-33.0557876136364,88621.0259241374,88531.5989813197,88751.8487906481,"Pa","sp"
"73","2016-07-03",-68.9166844117647,-33.0557876136364,88694.9473354114,88605.5370966443,88825.8152282015,"Pa","sp"
"74","2016-07-03",-68.9129320588235,-33.0557876136364,88768.8687466854,88679.4752119689,88899.7816657548,"Pa","sp"
"75","2016-07-03",-68.9091797058824,-33.0557876136364,88842.7901579595,88753.4133272935,88973.7481033082,"Pa","sp"
"76","2016-07-03",-68.9054273529412,-33.0557876136364,88916.7115692335,88827.3514426181,89047.7145408615,"Pa","sp"
"77","2016-07-03",-68.901675,-33.0557876136364,88990.6329805076,88901.2895579427,89121.6809784149,"Pa","sp"
"78","2016-07-03",-68.8979226470588,-33.0557876136364,89064.5543917816,88975.2276732672,89195.6474159682,"Pa","sp"
"79","2016-07-03",-68.8941702941176,-33.0557876136364,89138.4758030557,89049.1657885919,89269.6138535216,"Pa","sp"
"80","2016-07-03",-68.8904179411765,-33.0557876136364,89212.3972143294,89123.1039039162,89343.5802910746,"Pa","sp"
"81","2016-07-03",-68.8866655882353,-33.0557876136364,89286.3186256035,89197.0420192408,89417.546728628,"Pa","sp"
"82","2016-07-03",-68.8829132352941,-33.0557876136364,89360.2400368775,89270.9801345653,89491.5131661813,"Pa","sp"
"83","2016-07-03",-68.8791608823529,-33.0557876136364,89434.1614481516,89344.9182498899,89565.4796037347,"Pa","sp"
"84","2016-07-03",-68.8754085294118,-33.0557876136364,89508.0828594256,89418.8563652145,89639.446041288,"Pa","sp"
"85","2016-07-03",-68.8716561764706,-33.0557876136364,89582.0042706996,89492.7944805391,89713.4124788414,"Pa","sp"
"86","2016-07-03",-68.8679038235294,-33.0557876136364,89655.9256819737,89566.7325958637,89787.3789163948,"Pa","sp"
"87","2016-07-03",-68.8641514705882,-33.0557876136364,89729.8470932477,89640.6707111883,89861.3453539481,"Pa","sp"
"88","2016-07-03",-68.8603991176471,-33.0557876136364,89803.7685045218,89714.6088265129,89935.3117915015,"Pa","sp"
"89","2016-07-03",-68.8566467647059,-33.0557876136364,89877.6899157958,89788.5469418375,90009.2782290548,"Pa","sp"
"90","2016-07-03",-68.8528944117647,-33.0557876136364,89951.6113270699,89862.4850571621,90083.2446666082,"Pa","sp"
"91","2016-07-03",-68.8491420588235,-33.0557876136364,90025.5327383439,89936.4231724867,90157.2111041615,"Pa","sp"
"92","2016-07-03",-68.8453897058824,-33.0557876136364,90099.454149618,90010.3612878113,90231.1775417149,"Pa","sp"
"93","2016-07-03",-68.8416373529412,-33.0557876136364,90173.375560892,90084.2994031359,90305.1439792682,"Pa","sp"
"94","2016-07-03",-68.837885,-33.0557876136364,90247.296972166,90158.2375184605,90379.1104168216,"Pa","sp"
"95","2016-07-03",-68.8341326470588,-33.0557876136364,90321.2183834401,90232.1756337851,90453.0768543749,"Pa","sp"
"96","2016-07-03",-68.8303802941176,-33.0557876136364,90395.1397947141,90305.9570182531,90527.0432919283,"Pa","sp"
"97","2016-07-03",-68.8266279411765,-33.0557876136364,90469.0612059882,90379.6495631247,90601.0097294816,"Pa","sp"
"98","2016-07-03",-68.8228755882353,-33.0557876136364,90542.9826172622,90453.3421079964,90674.976167035,"Pa","sp"
"99","2016-07-03",-68.8191232352941,-33.0557876136364,90616.9040285363,90527.034652868,90748.9426045883,"Pa","sp"
"100","2016-07-03",-68.8153708823529,-33.0557876136364,90690.8254398103,90600.7271977397,90822.9090421417,"Pa","sp"
"101","2016-07-03",-68.8116185294118,-33.0557876136364,90764.7468510844,90674.4197426113,90896.875479695,"Pa","sp"
"102","2016-07-03",-68.8078661764706,-33.0557876136364,90838.6682623584,90748.1122874829,90970.8419172484,"Pa","sp"
"103","2016-07-03",-68.8041138235294,-33.0557876136364,90912.5896736322,90821.8048323543,91044.8083548015,"Pa","sp"
"104","2016-07-03",-68.8003614705882,-33.0557876136364,90986.5110849062,90895.497377226,91118.7747923548,"Pa","sp"
"105","2016-07-03",-68.7966091176471,-33.0557876136364,91060.4324961802,90969.1899220976,91192.7412299082,"Pa","sp"
"106","2016-07-03",-68.7928567647059,-33.0557876136364,91134.3539074543,91042.8824669693,91266.7076674615,"Pa","sp"
"107","2016-07-03",-68.7891044117647,-33.0557876136364,91208.2753187284,91116.5750118409,91340.6741050149,"Pa","sp"
"108","2016-07-03",-68.7853520588235,-33.0557876136364,91282.1967300024,91190.2672413223,91414.6405425682,"Pa","sp"
"109","2016-07-03",-68.7815997058824,-33.0557876136364,91356.1181412764,91263.9365697101,91488.6069801216,"Pa","sp"
"110","2016-07-03",-68.7778473529412,-33.0557876136364,91430.0395525505,91337.6058980979,91562.5734176749,"Pa","sp"
"111","2016-07-03",-68.774095,-33.0557876136364,91503.9609638245,91411.2752264856,91636.5398552283,"Pa","sp"
"112","2016-07-03",-68.7703426470588,-33.0557876136364,91577.8823750986,91484.9445548734,91710.5062927816,"Pa","sp"
"113","2016-07-03",-68.7665902941176,-33.0557876136364,91651.8037863726,91558.6138832612,91784.472730335,"Pa","sp"
