"","date","x","y","mean","min","max","unidad","nombre_var"
"1","2016-07-01",-68.9316938235294,-33.0589492045455,5.01905240174739e-06,-6.67582979259033e-10,3.59226903055787e-05,"m","tp"
"2","2016-07-01",-68.9279414705882,-33.0589492045455,4.94434869043866e-06,-3.3881317890172e-21,3.53871397141099e-05,"m","tp"
"3","2016-07-01",-68.9241891176471,-33.0589492045455,4.86964497912993e-06,-3.3881317890172e-21,3.48515891226412e-05,"m","tp"
"4","2016-07-01",-68.9204367647059,-33.0589492045455,4.7949412678212e-06,-3.3881317890172e-21,3.43160385311725e-05,"m","tp"
"5","2016-07-01",-68.9166844117647,-33.0589492045455,4.72023755651247e-06,-3.3881317890172e-21,3.37804879397038e-05,"m","tp"
"6","2016-07-01",-68.9129320588235,-33.0589492045455,4.64553384520374e-06,-3.3881317890172e-21,3.3244937348235e-05,"m","tp"
"7","2016-07-01",-68.9091797058824,-33.0589492045455,4.57083013389501e-06,-3.3881317890172e-21,3.27093867567663e-05,"m","tp"
"8","2016-07-01",-68.9054273529412,-33.0589492045455,4.49612642258628e-06,-3.3881317890172e-21,3.21738361652976e-05,"m","tp"
"9","2016-07-01",-68.901675,-33.0589492045455,4.42142271127755e-06,-3.3881317890172e-21,3.16382855738288e-05,"m","tp"
"10","2016-07-01",-68.8979226470588,-33.0589492045455,4.34671899996882e-06,-3.3881317890172e-21,3.11027349823601e-05,"m","tp"
"11","2016-07-01",-68.8941702941176,-33.0589492045455,4.27201528866009e-06,-3.3881317890172e-21,3.05671843908914e-05,"m","tp"
"12","2016-07-01",-68.8904179411765,-33.0589492045455,4.19731157735165e-06,-3.3881317890172e-21,3.00316337994247e-05,"m","tp"
"13","2016-07-01",-68.8866655882353,-33.0589492045455,4.12260786604292e-06,-3.3881317890172e-21,2.94960832079559e-05,"m","tp"
"14","2016-07-01",-68.8829132352941,-33.0589492045455,4.04790415473419e-06,-3.3881317890172e-21,2.89605326164872e-05,"m","tp"
"15","2016-07-01",-68.8791608823529,-33.0589492045455,3.97320044342546e-06,-3.3881317890172e-21,2.84249820250185e-05,"m","tp"
"16","2016-07-01",-68.8754085294118,-33.0589492045455,3.89849673211673e-06,-3.3881317890172e-21,2.78894314335498e-05,"m","tp"
"17","2016-07-01",-68.8716561764706,-33.0589492045455,3.823793020808e-06,-3.3881317890172e-21,2.7353880842081e-05,"m","tp"
"18","2016-07-01",-68.8679038235294,-33.0589492045455,3.74908930949927e-06,-3.3881317890172e-21,2.68183302506123e-05,"m","tp"
"19","2016-07-01",-68.8641514705882,-33.0589492045455,3.67438559819054e-06,-3.3881317890172e-21,2.62827796591436e-05,"m","tp"
